MCC,Category,Description
5411,Groceries,Supermarkets and grocery stores
5812,Dining,Restaurants
5541,Transport,Gas stations
4111,Transport,Public transportation
5814,Dining,Fast food restaurants
5734,Subscriptions,Computer software stores
5735,Entertainment,Record stores
5912,Health,Pharmacies
5999,Other,Other retail stores

